topo_id,state,abbreviation,2010-01,2010-02,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07
2,Alaska,AK,274036.1,277230.0,251645.09492931506,252578.80068694812,252950.068856901,252792.7343585169,253555.70480425976,254354.3389695702,254271.70415409253,254230.97303110396,254595.8233492069,255403.74046117582,255707.0905650181,255473.88436950647,255663.69788828748,255553.8529356138,255531.51352849952,255028.53882968635,254697.87918587984,253640.77172717926,253227.18780996217,253515.13193969816,253966.2281794818,254284.01403242254,254965.88837473473,256661.28123258622,257306.67608147103,257991.11874777186,257767.40903394515,257463.24686293,257168.6239295697,256763.99577544787,257394.226013267,258905.35044866937,260745.06932904027,263151.8463312494,264646.7739940296,264981.77721913863,265559.9828694884,265686.65326299524,265968.69346345443,266393.55210785836,266051.3039711452,266262.5471497982,266845.42190278746,268278.47710762837,269471.4766504203,270753.3436343684,271781.6102136058,272353.74590572296,272671.6841502147,272716.5005618208,272751.69364319585,272755.12086978887,272946.5041167814,273558.29157274694,275038.14643672074,277788.2192027447,280685.7572924062,283412.551443741,284100.04471743363,284413.0108491918,283519.3206360789,282146.73344695,281309.97618641827,280860.2921768211,280851.55181921046,280426.6160029698,280263.4438374393,280211.39502346894,280078.12496236374,280010.4072347453,280011.79347611027,279643.4615465832,279033.8804254973,278483.3755618265,278323.5743377069,278389.00808334566,278245.48700962664,278013.2922136113,277842.00347189384,277682.7330716903
1,Alabama,AL,188337.13551401868,187864.07476635513,167469.89958623901,166770.17292093445,166107.2339208394,165708.86098282784,165458.4588459159,165209.53709284894,165143.3921157535,165064.28457079746,164951.00558202993,164739.04298706594,164479.7580943755,164350.4670523358,164305.8066802571,164426.2490103174,164740.68535338982,165317.2824267671,165239.90513398199,165136.61050536865,164802.07870778383,164245.40387563987,164165.56758548808,164144.65887882665,164310.2013753396,164443.66776176568,164628.59032242835,164957.07483894005,165169.2971158818,165486.35299790977,165802.89492583388,166281.0424046958,166763.6361407708,167559.8785186479,168457.04219328382,169818.1500709187,170868.60102551072,171716.79271947005,171219.16292056776,171300.86683071853,171386.21453107893,171363.473761348,171354.29301228756,171387.37187814905,171463.59719056965,171555.30354066682,171727.28293118643,171825.5333496409,171792.57387414027,171813.00642268488,171798.58183462624,171728.18355725176,171733.04482151254,171551.7854681203,170881.82968131755,170568.23159461634,170367.59469833205,170434.17513792886,171382.21446369402,171757.18622950307,172344.08512014625,172724.41626658684,173043.65215911265,173452.56427510246,174118.19857811785,174824.32056531755,175572.52655466742,175940.44508666187,176427.30797005782,177292.18797164448,178316.66708167657,179504.17748295044,181371.50590190137,182707.63548791228,183197.7180186609,183768.11442179946,183949.00622122185,184028.49892247704,183765.5196137521,183632.7933875826,183692.79686145962,183843.97350866976
5,Arkansas,AR,159239.3650793651,158150.09523809524,149241.39579253708,149354.79315520157,149677.16754248607,150111.65015366787,150397.3566036059,150255.39597093692,150057.85782206155,149950.07585025532,150060.52783667596,150239.1962982933,150540.20736624466,150624.66644380896,150495.9843672474,150252.44752155457,150220.91412054418,150231.33253369262,150234.34477759205,150237.55209981865,150363.15652032546,150456.67862563394,150466.64116555406,150524.69019636879,150461.1810667435,150083.1163200381,149925.9989540749,149698.74181569013,149452.8859955219,149461.7620911517,149495.5040293436,149497.40157274896,149451.46197790955,149349.50983740913,149393.48645449625,149546.3477623641,149577.30421090024,149587.6870839437,149583.84744713333,149578.59567515383,149475.7845933708,149090.80989823857,148635.07333499315,147916.61634548812,147233.79785767803,147123.08898413277,147421.01169570923,148193.1224356697,149243.70698959145,150223.7202387288,150946.1439583915,151660.50267159537,152117.16439459115,152371.1242937066,152670.95314985345,153146.22821439544,153652.0986636296,154465.837220261,155648.6305278191,156802.31996556715,157794.11922485623,158365.89106692237,158617.41442273319,158607.38318225095,158608.45500859336,158539.813513566,157620.70095804255,157217.2801106386,156533.03726808276,156358.15552438723,156835.93850631942,157430.54449292715,158166.65353658644,158740.4524004034,159400.81519022025,159944.22361457415,160367.44033054746,160759.24555345695,161400.58202654964,162084.12109717718,163287.30012384622,164732.20959555448
4,Arizona,AZ,259951.1150793651,257748.50396825396,209217.95891808934,210556.50205578114,211532.19564096135,212763.51729253915,213876.7504723838,213725.06553675854,213138.9947729097,212538.8271142905,211949.5389610058,211241.00936964183,210686.49388132995,210160.1156816407,210235.52028499485,210064.5486457367,209957.3000228112,210644.5692103436,211687.28509529747,213347.63692537887,215554.2786356691,218306.7646187785,221292.92731989778,224214.71477611279,227234.33071512033,230177.1036882246,232661.09631974366,234464.71917219769,235790.26260479004,237545.31691831266,239630.877278141,241347.72185950744,242958.35749752083,243882.5682965198,244442.97442241572,244292.27008290894,244134.64730285635,244029.8539663295,244406.11069855443,244907.90524569797,245236.0727319483,245242.3934050845,244929.14187556907,244257.24157841253,243327.92921002355,243178.45445281218,242728.10797064105,242485.66706809436,242409.5327525816,242308.1204577663,242526.10752826618,242829.24506099967,243079.05110228132,243859.14113317578,244812.06723613263,245930.98644125456,246958.35116137448,248469.73383521338,250056.67931929213,251690.00078835414,253194.9634781466,254431.0253219063,255699.46671169513,256747.71980877258,257628.27517633434,258925.4121925635,259654.77121960968,259966.84908545858,260543.94792362783,261307.9711041879,262472.8848801054,263855.5815441082,265287.7114277235,266746.68867873296,268011.2953769588,269092.32211610605,270047.1191536816,271462.7312897067,273231.0927313748,274685.52167140204,275954.3590667893,277169.27200846554
6,California,CA,439534.28317535546,434727.366745283,380093.5598787953,378014.19961611135,376975.324079057,377128.15684784256,378865.83184754575,380379.16961882793,381557.8370040328,382056.3617789555,381495.76924216945,379857.0069917197,378066.5154158827,375811.9833429436,373406.1588463775,370412.16211766226,366624.6889250296,362510.6342009461,357382.56420742744,353325.672134054,350765.2302386968,351058.8828239046,354071.46782376984,358840.83263641177,365628.6790240372,373285.66678534704,381497.7946393647,389628.05020939023,398200.2066027669,406981.0181168342,416556.1869667781,425879.267400442,435777.5089994219,445865.95331972785,456394.1862489967,466684.7031374435,475382.4898706965,481972.4951073089,483649.7316374204,483763.6590078047,484056.95090844616,482692.28695106704,479981.5223073734,476333.6637749036,473587.77483109874,471507.2488371143,468882.7881492412,467865.2127076068,467291.10869388946,468023.75341737666,468445.2920477843,469020.49909063487,469607.62922502524,469972.5575995298,471489.5506406549,473878.4261846937,477225.385669912,482569.66350380424,488501.18901509064,495099.70613701304,502645.2982209437,508526.523837912,513441.4279594126,517921.00987422664,523337.29788945644,528960.4165633013,533119.071774465,537993.0799052136,543024.8665974734,549258.8964084905,555563.5105230798,561360.5873955725,566233.9302583659,570441.2695596084,574454.5829057703,578366.2899598299,581817.8849132556,586073.9633456075,590139.881664577,594393.7254629493,598625.1236887197,603715.6215069985
8,Colorado,CO,263805.7761904762,262523.9380952381,235167.58250906089,234749.5342267031,235012.4044063419,235850.12399571209,237579.44684713572,237759.09459999768,237235.9741997112,236550.79368126395,235909.59734972764,235700.52503954372,235863.30929372154,236187.30062854945,236791.80616644965,236933.41998603128,237170.48553668303,236804.80679836968,236011.45945341524,235191.71471753018,234920.5709440044,235671.4078172278,237283.69137743668,238995.6933018452,241205.8271586035,242690.24264031986,244124.88960426766,245340.4729402572,245924.67205201605,246813.59233229555,247898.39886431993,249708.50358522355,251508.16288316256,253700.60210851018,256661.05502763644,259687.17323659136,263166.96694429725,266034.2867435513,268107.6587707753,269113.28361755464,270755.1616356262,272979.589835951,275178.44786835683,276444.2053264687,278580.3382064793,277986.90035845235,277547.9324369121,278213.3281509705,278925.28362646967,279980.5445820832,280761.8656354808,282594.8773317378,284622.335774364,287813.16876869864,291338.88507960935,295155.61685779947,298624.3235358601,303762.5025516447,310014.77253048494,315720.9429499267,322465.11303949915,329975.42984217487,337671.96613879455,345735.1263064912,355140.8849852287,360425.98646367044,363500.9390435441,367069.388796545,371684.1640319772,375845.8266066603,379047.8550921088,382190.7470784101,385438.96946634055,389607.5550155576,393478.31696533517,397492.47278674337,399031.27861939254,401586.98016433616,405944.58861311775,410176.28956189926,414454.19623161625,418230.09110880806
9,Connecticut,CT,366611.53658536583,366817.70967741933,326893.2796737171,328119.8421771364,329489.9072781994,330278.37247067154,331303.8507403032,331113.77568554535,330971.89181238355,330870.68097124674,330996.6955987478,330927.4564225127,331041.37574728124,331136.0555032161,331537.7245805883,331773.37925541657,331664.88986577484,332405.4769461541,333545.3651323368,335284.16067763086,338175.0377567213,337710.7889479656,337903.2751155585,338375.7932431317,339093.19566644315,339815.01933210687,340810.04468606075,340953.85017440666,340883.4632992877,341852.05187362985,344058.5504862794,345356.78572403913,346425.55785500444,347300.5630723011,348944.3377761871,350649.92689738306,350993.7585039461,351891.46718000877,352946.31505985814,352985.23262044595,352744.4080526528,352782.36104761326,350151.0860554758,348859.99863088375,348212.34032722306,347736.1842189338,347815.8889758162,347746.32867050765,347701.77700712497,348259.9676231456,348654.8343509081,349142.547838581,349698.33944117656,350403.17452133563,350176.5928234504,350702.54881721444,352170.1371844678,354014.94459390896,356481.365678903,354839.3391132228,355167.02646966925,356353.7172153697,356356.67870422726,356675.42975369527,356254.80643459613,356398.73741904116,357472.6102863211,359097.2171349375,361739.01469410356,365095.3395335436,369167.96035561664,374513.5296088458,379382.8167089628,384355.5979067228,385795.8566659221,387504.39422652207,389694.5391729541,391269.73289372394,393532.8259147348,393389.04014006036,393393.2471530239,393149.9697193942
11,District of Columbia,DC,351953.9285714286,357557.14285714284,335538.273037152,334789.0800728695,333468.0643563698,332915.9290930446,331456.5869089728,331347.5371618021,332264.85757599515,332501.99925993953,334865.97663091746,338470.9669525598,344313.7978432443,349683.3928987662,353823.40196092933,357890.1034387792,361090.8551814837,363518.4932615416,347196.5925809063,334887.928081671,327869.4850635131,327465.21283760155,331119.8056094993,335155.2513544343,338187.97418449225,342225.07295479823,346689.2302910631,352210.2650355779,358007.41535698983,363374.3212994373,371485.7503408137,382788.58832806454,393946.37475015654,406029.2128374735,420997.67392101703,439521.3725099099,458028.0488148388,485143.7822302529,485720.85408829217,485364.49816536217,485311.25881997636,484589.7688846796,490251.78231656644,492710.4303574283,494230.33790709276,496396.5789617018,499575.5225121297,500714.84215914743,502110.20465371467,503280.3198616831,503752.73881632753,506341.2359952309,509780.8042553377,513775.07618507254,516850.1016110579,519412.0606842163,523506.02390818374,525730.2772170726,527515.2601461919,529953.9426798517,535825.1300603306,536292.4557051355,535239.3500788542,534938.5999828065,534050.7056019512,535490.0612552593,533637.5151352524,532507.9523406503,529537.5935721886,529188.4384292774,528838.1585780261,528279.2829175101,530173.2608837629,531439.7523192527,531527.2603990985,531658.33321331,531695.2628326126,531675.8572560757,534533.1079435312,539315.9583976056,542258.7850223391,546639.7908464841
10,Delaware,DE,271997.0571428572,273476.97142857144,234053.73077002322,232395.46308707003,230959.88833824865,230398.60078460452,230379.79031984077,230756.33312900297,231388.96932726784,232157.79721306777,232765.7588529207,232903.43154622245,233140.98322783175,233367.05411113982,233507.57007076291,234212.84690530936,234703.99507496817,234366.64206084854,233963.63459741115,232495.27946689093,232083.76627812834,232281.4901115545,232832.23693170183,233427.27402557136,234755.5590558545,235803.88272107905,236633.73610259738,237457.50496324454,238311.77730934406,239184.47640695877,239309.896018577,240014.65176653795,241096.44248027526,242442.20689999082,244647.19180372395,246094.23582723367,247278.34076545574,248041.12232944398,248912.56209391286,248976.26785010882,249446.42915574438,250189.839120421,250496.98508837,250065.61669906016,250092.73174320578,250971.19248021394,251627.05397676514,252959.81933832503,254296.15739389247,255428.06750113185,255600.77322232636,255742.14335949597,255828.86170393764,255950.27788767836,255764.68943910248,255386.06894478176,255469.48620839696,255697.9635376733,256065.1308770316,256964.34115743058,258221.33241176064,258977.21081005462,259438.63998620928,259131.17921419104,258914.03154907183,258941.15737581608,258877.1127468876,259082.4421133829,259117.00617231024,259068.6904355298,259415.55145058138,256251.25882162314,255161.94148236891,254450.24800965234,254148.55952078337,254108.06260593518,254469.84786391596,254856.08559928148,254892.78597991145,254961.37239917478,255571.09459811347,256688.2354826984
12,Florida,FL,236679.48101265822,234911.09367088607,195144.820176429,195650.95700934704,196266.81172616727,197201.80624865997,198497.72694111313,199391.83912768922,199804.72182708667,200230.283925828,200164.22715539625,199936.47334670575,199907.9535266602,199254.4564987038,198706.31721928113,197735.95359882398,196831.38757736536,195989.65880129076,195267.57787391404,194715.74026136563,194778.33853920797,195470.6443181726,196737.1620501994,197794.5522574438,198683.2604001653,199543.87249924682,200642.78575327518,201630.77026134322,202854.54939306164,204366.7878006608,206450.29600102053,209027.8614350792,212512.592410615,215127.09081283933,218045.94928755664,220579.07783102684,223050.3284386548,225027.5504491179,226971.71922089034,228536.3156153023,230428.253042494,232292.73817630686,234580.38186867867,236318.79416360272,237688.29960145534,238694.92185110957,239385.26130845904,239810.11005534668,239985.85458358846,239948.66306382534,239470.9908379312,240010.99827627063,241339.90078106854,242458.21487466135,243879.79091795054,245375.2486498364,247103.52042663336,248565.66107304234,250538.83399587878,252587.37733460683,254785.02038320416,257324.74432150702,260305.81677841616,263618.746333199,267275.4272561405,270454.4264758832,273034.54521923437,275465.4655692013,277632.2322639417,279171.48389223986,279778.41704310494,280549.79966876574,281812.93008353544,282997.725201216,283932.15053565224,284804.2572977862,285748.44678936934,286578.7114873437,287948.7882084071,289125.91931889317,290097.2541217038,291416.46578433947
13,Georgia,GA,226015.24834437086,223795.64569536425,180616.2775867106,178982.10861925635,177850.8512629551,177025.00881111057,176937.5004888348,177061.7193745292,177368.68372923677,177896.01438691438,178358.84057263294,178414.63934957053,178251.48823777473,178116.59594920624,177737.7721698014,177274.88192082982,176259.53706555217,175296.28949680505,174066.16166402836,173176.14667502043,172539.16538066306,172796.09036507297,173848.23331412216,175361.21834507486,177115.71855965222,179212.9758274973,181713.36656573313,184262.31630944472,187038.68322776133,190242.14093875763,193819.01778263957,199008.53444328773,200225.92837631766,201816.6543880235,203503.43066138285,205235.77167405083,206376.30048397213,207498.32724585186,208007.27520932353,208491.67352300853,208498.5136607174,208679.65359945083,208739.8934765072,208758.43900041629,208868.7761879054,209435.1486130578,210434.04140924301,211768.38057176024,212549.80912962573,213145.04172071966,213057.44611855323,212971.9974456553,212857.0965388712,212730.09135959504,212527.62862210989,212597.18345908882,213339.45731294606,214201.31222836257,215837.80211652775,217511.68258636948,218827.91442173193,220262.31582234974,221596.06862612272,222892.72065477734,224065.6472360673,225393.812346247,225656.53876980534,226001.25245981675,226540.3098454335,227252.18305320962,227816.516532619,228435.66716802653,229330.6999248956,230058.30905347102,230369.29181728847,230621.86914761906,230739.06245513837,230873.49300502645,231305.16109653475,231914.33878795133,232742.96929705533,234025.79877980647
15,Hawaii,HI,465423.07692307694,470800.0,358259.6504409125,359705.60600040597,360492.7880200049,362814.10086942185,366522.85857553146,367407.39232667594,368475.26753192453,372019.0147912017,373087.4223621277,375130.28614028584,375487.9596083122,341372.9003881684,328571.1677107444,324088.51459057035,321791.69140846207,321709.7072094005,321558.62463608803,322681.3157517569,324655.6850970143,326587.7812218934,320146.0828049481,318294.55747211655,322178.25716304063,327579.8039122585,335456.8478207196,346314.99440460507,359112.9472397425,374351.10227535735,393384.5333569744,415208.0796881998,444420.98614304286,448060.94876101904,452569.6211572517,461500.68887618644,472021.8142941907,483915.07696934487,495132.2655132778,510248.7622927552,525931.0851809091,534335.8444632003,534744.484722489,535265.6017202713,535202.5593076329,535858.1420134025,535572.4061618062,533698.2904057887,532235.5294951167,530420.1176245571,527112.6775482248,524728.2646165568,525450.6381086548,527156.9476976396,526046.4616354193,525510.9789556641,525351.1741141503,531227.5043140147,535810.6302219807,542845.9841032522,549092.3384034911,554817.2421836654,559139.083628128,563416.0423478942,571822.9643865871,577501.3753953448,581537.6148065459,586468.7084934153,591760.5562535266,596403.3285953524,598537.7874598319,601964.8961393674,612492.6591806699,618912.9854792709,619706.4300267558,621537.7789646527,623125.6591565504,627300.3166019609,631373.4418786659,635162.6529623524,639222.5796125398,647314.4860150168
19,Iowa,IA,160129.7162162162,158272.2972972973,146132.97008470973,145951.35340703843,146023.36359709487,146371.7005718418,146959.0993520099,147242.6641761203,147415.5676274133,146676.99384526722,146358.6348086841,146343.16052643742,146497.30278955607,146306.4352916674,146244.55624421337,146256.7607312122,146365.98453084327,146395.01771544942,146577.68310027686,146966.00404394942,147340.90437289566,147940.17066902266,148991.32026273583,150406.45898050687,151469.0821409604,152393.1023085352,153404.44729454792,154635.4020035469,155749.52479228872,156347.64479374955,156961.2659012109,157019.59072066782,157304.16991479733,157701.40495810713,157960.34711639327,157908.62007471966,158138.11370011355,158167.95718739016,158015.38992534493,158230.92587606737,158082.90148001027,158274.61369655398,158761.5255866941,159611.72252840895,160605.25567082304,161591.83982863234,162810.4168892857,164134.3132270607,165726.1030978594,167775.51849887794,170543.37138584038,172290.3499339139,173878.3530413775,175800.87364999822,176583.48586822438,177702.96710588547,178772.99002690875,179707.97716088954,180223.02931769105,181167.32931649324,181320.47224079567,181827.4015041166,182084.84241697693,182489.79616815475,182802.07513257067,183256.09397717423,184060.44697473836,184368.55237674195,185051.27048968722,185761.95614046173,187262.563201271,188494.44018605308,189400.94256846292,189562.23419481804,189349.0259296768,189303.03457946144,189490.47755634494,189523.0724511797,189474.65076700735,189360.46519501615,189328.16695926452,189342.46853485386
16,Idaho,ID,202951.8448275862,197771.33333333334,170616.33495765267,169372.9069197003,168385.98924249547,168507.41990308196,169122.1944921594,169681.56604791255,169994.48582318085,170458.4277463097,170200.79794183158,170191.66971080887,170164.39309468004,170073.75078160645,170010.900290693,169986.79604040147,169583.29522507833,168823.18757954228,167534.9500722898,166332.01867695092,166102.62236053718,166672.73117827444,167959.10687304713,170306.99918139254,173148.2273721227,175117.2135145415,176505.87189352076,177254.23794849508,178033.54439606026,178164.62062737634,177821.69952122853,178560.03328999624,179137.99734220348,179952.32945932398,181158.83972217795,183096.45228082972,184523.3317590812,185583.61912319032,185940.49749237244,186001.95306625348,185867.3719528618,185711.0447514492,185507.00729501975,185602.21722449042,186837.10979898917,188707.69828155971,191371.2811474331,195486.237998199,198708.45063816945,199763.00102004208,200941.99805907908,202331.55010038984,203496.54382223546,204271.80753829406,205441.57687600626,206944.32782317922,208745.3559174648,211364.75761809936,214517.6090775806,217623.54413259876,220157.7762074443,222473.7117130137,224068.3257150359,224867.2756358152,226273.83078541915,228023.08133652655,229049.3620217343,230213.02597864042,231286.46737523048,232286.76279121853,234312.7326167606,232960.99694811716,233459.4778523867,233400.33527116253,233610.81979752152,233916.00882778212,234142.42698316925,235376.67490495247,237001.81699342225,238561.3877835293,240838.23247607547,243797.0990791564
17,Illinois,IL,246454.66287878787,245067.48295454544,194524.78172120644,192806.5524548054,191719.46236423866,191186.7799843232,191350.49757194446,191500.10754207752,192104.57048644839,192699.73327947987,192746.20004050166,192473.6078704775,191885.96190602207,191691.63727480808,191469.9501351018,191945.7605939548,192901.81343557592,193913.9715660721,194254.40243899025,193272.38264064057,191711.04181164494,190297.44377089775,189763.52341358573,189654.87096768766,189399.18513270386,189521.64347253187,189918.8715625658,190396.94209390396,190747.55385533153,191047.37326695753,191689.33410968838,192313.73047961434,193535.4464537161,195369.23771966284,198233.81629456015,201695.13495404765,205068.2207626771,208289.60551533115,210564.72604280114,212003.1978368162,213148.4569182554,213274.78623187073,213861.00931020838,214219.31321157853,214414.00153791416,215250.90208598576,217011.76365297072,219128.1473368436,220994.67034018977,221829.93592542247,222280.20338157372,222204.23925712728,222245.55837241383,222361.33761468678,222372.51392026883,222361.25309867493,222518.07456844166,223619.83844871874,225484.68685523295,228158.66177095575,230870.76103283677,230845.36851273023,230706.0505591867,230592.53719227505,230586.72279519064,230512.77581675764,230345.82842616903,230052.84310054377,229977.2559057904,230325.2542837767,231677.6645319693,233290.5041249191,234097.49327005254,234266.5403465019,233910.91395433285,233649.51935814007,233720.65685460131,233696.13858668468,233702.96150836916,233707.1046284381,233839.3924435881,234377.53528369332
18,Indiana,IN,147738.60476190477,146495.61904761905,137498.92049317833,137152.7987247541,136792.35238398594,136820.70755025974,136828.69879157594,136884.54983557336,137090.47386021097,137376.6603647671,137282.56509081504,137185.6184882947,137041.29867578615,136913.97917410545,136663.96407502418,136546.5589067581,136629.3523963348,136820.57182636502,136091.0626828917,134932.9386613398,134085.52738948073,133419.7973822253,133258.21081717737,133215.99526285994,133420.08380248272,133593.9521080776,133831.21522261883,134144.33013298307,134442.11646167017,134697.8702769774,134749.842740483,135061.0817444021,135390.67836987745,136138.34591589807,137428.91728859386,139074.48639584635,140981.73279519603,142756.31867391418,143653.6257655667,144133.51569230124,144550.42079470638,144679.08899104618,144765.56318250965,144907.77915995073,145239.478249735,146052.28311019376,147119.05919073548,148341.56375866642,149852.68310500268,150901.65141015474,151229.14153508627,151590.3901295301,151677.30321260288,151743.55048814713,151625.0342636825,151407.36018300446,151568.05773292115,151650.71159710377,152419.2045388842,153038.9690408088,153871.47743903764,154348.10845065175,154618.25641827707,154886.6546718991,155230.0583241101,155467.6119290546,155721.39975407318,155762.21641171395,155972.09429762993,156450.81290499348,157541.96173527537,159083.63734663383,161031.1641695734,162706.5566769182,163942.23923741071,164919.40450134888,165706.79969907037,165978.57407073004,166059.36185513219,166218.30092123573,166545.84397799088,167414.5180658532
