topo_id,state,abbreviation,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08
1,Alabama,AL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.885,7.77,1.295,0.0,4.279999999999999,2.985,2.985,4.456944444444445,6.275833333333331,6.2775,6.114444444444443,4.303333333333333,4.170277777777779,4.518055555555555,4.716944444444445,5.471388888888888,5.139166666666667,3.621944444444444,5.892222222222221,6.038372093023256,3.677906976744186,5.338372093023256,4.099534883720929,4.243720930232557,5.270930232558139,4.470232558139535,3.3651162790697677,3.153255813953489,2.5609302325581385,3.691627906976743,5.853023255813953,3.8993023255813957,3.7118604651162785,3.9248837209302323,3.318837209302326,3.416279069767442,2.855581395348837,2.14093023255814,2.906511627906977,2.538372093023256,2.9662790697674417,2.5702325581395353,3.219767441860466,2.693488372093023,3.2293023255813957,3.2237209302325582,2.128139534883721,3.481162790697674,3.404883720930232,2.614186046511628,2.4481395348837207,3.323023255813953,2.7165116279069768,2.3051162790697672,2.2751162790697674,2.5495348837209306,2.475116279069767,2.4700000000000006,2.2535483870967736,3.8434615384615376,2.405909090909091,2.04875,3.7761538461538464
4,Arizona,AZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.852142857142857,2.911428571428572,4.423571428571428,3.2414285714285715,3.5085714285714285,2.6364285714285716,2.7814285714285716,3.5335714285714297,2.1214285714285714,3.4299999999999993,2.186428571428571,1.662142857142857,1.6928481012658225,1.52626582278481,1.8589240506329117,1.504810126582278,1.2298734177215185,1.3797468354430373,1.4834810126582272,1.1696835443037972,1.253860759493671,1.3011392405063282,1.230569620253164,1.308164556962025,1.1512578616352203,1.048301886792453,1.1989937106918238,0.92062893081761,1.2486163522012577,1.3115723270440247,1.2828301886792453,1.5211949685534596,1.25937106918239,1.1922012578616354,1.1686792452830184,0.8586792452830189,0.9935403726708073,0.5419254658385092,0.8500000000000001,0.6136024844720497,0.6292546583850932,0.8180745341614908,0.7434161490683231,0.7722981366459628,0.8046583850931676,0.8905590062111802,1.11472049689441,0.6985093167701862,0.8189440993788821,0.65055900621118,0.6553125,0.29989795918367346,0.28512820512820514,0.20843750000000003,0.1953703703703704,0.08555555555555555
5,Arkansas,AR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.29,3.14,0.0,31.33,3.13,9.38,6.25,3.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7599999999999999,0.0,0.0,3.166129032258065,1.3987096774193546,2.54,1.1383870967741936,1.5112903225806449,1.842258064516129,1.4183870967741936,1.4035483870967742,2.254838709677419,1.8903225806451611,1.6096774193548389,2.002258064516129,2.265625,1.8637500000000002,2.1178125000000003,1.7671874999999995,2.3693750000000002,1.985625,2.2624999999999997,1.9809374999999998,1.9925000000000004,1.5887499999999999,1.8256250000000003,1.4203125,0.7175,0.9071875,1.7025000000000001,1.1809375000000002,1.2528124999999999,1.4571875,0.7025,0.9675,0.9103125,0.5328124999999999,0.606875,0.95625,1.1074999999999997,0.71875,0.9028,1.1371428571428572,2.574375,1.0661538461538462,0.30300000000000005,0.281
6,California,CA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.431746031746032,1.9371428571428575,2.598888888888889,2.6704761904761902,2.4995238095238097,2.202539682539683,3.7317460317460323,2.3553968253968254,2.5833333333333335,2.43984126984127,1.631904761904762,2.4752380952380952,1.4108849557522118,1.2568436578171094,1.3288348082595867,1.593082595870206,1.1969026548672559,1.3951032448377576,1.2482005899705015,1.1254572271386423,1.071784660766962,1.0546902654867254,1.1414601769911503,1.3122123893805318,0.9489085545722715,0.8738495575221239,0.9039233038348082,0.8993215339233042,0.7354424778761061,0.9351474926253686,1.0169174041297935,0.8607227138643069,0.7965634218289088,0.8142035398230086,0.824439528023599,0.8868879056047199,0.8509720176730493,0.6681443298969073,0.7174521354933727,0.438983799705449,0.5486597938144329,0.5351693667157584,0.5024447717231221,0.5748453608247425,0.6305891016200291,0.5848159057437409,0.49404129793510315,0.5234955752212388,0.4932743362831857,0.3469911504424778,0.3470962199312714,0.26713991769547346,0.18531862745098043,0.21321022727272726,0.217344262295082,0.16853846153846153
8,Colorado,CO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9880555555555555,1.6202777777777775,1.3991666666666667,1.5411111111111109,1.0825,1.1763888888888887,1.1241666666666665,1.3861111111111106,1.6800000000000002,1.471111111111111,1.2325000000000002,0.7905555555555556,0.9375490196078432,1.0686274509803924,0.918921568627451,1.1650980392156862,0.8191176470588236,0.7325490196078431,1.0299019607843136,0.7735294117647059,0.7172549019607842,0.7648039215686276,0.9394117647058824,0.8782352941176472,0.5761764705882352,0.5299019607843136,0.4900980392156863,0.41039215686274505,0.1877450980392157,0.19058823529411761,0.16509803921568628,0.20598039215686273,0.19450980392156864,0.15196078431372545,0.1652941176470588,0.11323529411764706,0.09745098039215687,0.19019607843137254,0.2146078431372549,0.08284313725490196,0.11647058823529413,0.18166666666666667,0.11303921568627452,0.15098039215686274,0.1855882352941176,0.11058823529411764,0.1686274509803922,0.16784313725490196,0.12029411764705882,0.11205882352941178,0.03305263157894737,0.005,0.005316455696202532,0.044743589743589746,0.05263888888888889,0.011940298507462687
9,Connecticut,CT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2012658227848103,6.653500000000003,4.429113924050633,3.5154999999999994,3.1645,2.9105,2.148,2.3491249999999995,1.86525,1.41175,1.9062499999999993,1.721375,1.9060493827160492,2.0465432098765435,1.5158024691358023,2.272222222222222,2.5380000000000003,2.3287654320987654,1.6581250000000005,2.7093827160493826,2.7283950617283956,2.11641975308642,1.6976543209876538,2.3224691358024696,1.8678378378378377,2.0889189189189192,1.8736036036036041,2.0613513513513517,1.9197297297297298,1.7927927927927925,2.6368181818181813,2.2149999999999994,2.6864545454545454,2.7341818181818187,2.5592727272727265,2.615765765765766,2.178288288288288,2.3906249999999996,2.760823529411764,1.98171875,2.2246153846153844,2.25825,2.70939393939394,3.8175862068965514
10,Delaware,DE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3772222222222221,1.3594444444444442,1.3855555555555557,2.04,3.012777777777778,1.1505555555555556,1.277222222222222,3.0233333333333334,1.0427777777777778,1.416666666666667,0.5316666666666666,1.1722222222222223,0.5922222222222222,1.1672222222222224,2.466666666666667,0.044444444444444446,0.25611111111111107,1.573888888888889,1.818888888888889,1.9427777777777777,1.6011111111111112,1.8472222222222223,0.0,1.228888888888889,2.417222222222222,1.7355555555555557,1.8900000000000001,1.432777777777778,2.0216666666666665,2.1177777777777775,1.1377777777777778,1.6400000000000001,1.5888888888888888,2.328888888888889,2.5316666666666667,2.2433333333333336,2.5900000000000003,4.543333333333333,4.470000000000001,3.0438888888888886,6.547222222222222,4.737222222222223,3.0972222222222223,3.6800000000000006,2.8683333333333336,4.89,3.483333333333333,3.7349999999999994,4.363888888888888,3.4622222222222225,5.114117647058824,4.86875,4.5307692307692315,3.6750000000000003,4.549166666666667,3.8210000000000006
11,District of Columbia,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040625,0.19625,0.1325,0.04625,0.054375,0.0,0.05375,0.43999999999999995,0.21000000000000002,0.0,0.064375,0.12062500000000001,0.649375,0.42312500000000003,0.320625,0.18,0.35125,0.454375,0.280625,0.34625,0.416875,0.23625000000000002,0.305,0.411875,0.35562499999999997,0.47062499999999996,0.785,0.9487500000000001,0.316875,0.59375,1.01375,0.501875,1.64,1.921875,0.9912500000000001,2.2268749999999997,1.3850000000000002,1.124375,1.701875,1.2493750000000001,0.4925,0.6012500000000001,0.7100000000000001,0.9850000000000001,0.515625,0.635625,1.2043750000000002,0.30437499999999995,0.7987500000000001,1.23,1.43125,0.7961538461538462,0.6884615384615385,1.2754545454545456,1.0657142857142856,0.8414285714285715
12,Florida,FL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4625339366515835,4.3075565610859705,3.8907466063348397,4.298235294117645,3.920067873303163,3.8891402714932113,4.028257918552037,3.99814479638009,4.001764705882355,4.292262443438912,3.0861538461538482,3.6657918552036213,3.1624313725490225,3.9962941176470617,3.6130392156862743,3.1419019607843164,2.882784313725489,2.7514117647058827,2.6427647058823553,2.186666666666668,1.8668431372549021,1.79429411764706,1.670176470588235,1.955176470588235,1.8207632093933461,1.7709001956947161,1.353855185909981,0.9484960937500002,0.9333203124999999,0.8497265625000002,0.9951757812500003,0.6932031250000001,0.37630859375000003,0.24884765625000005,0.2663085937499999,0.24658203124999994,0.2864648437499999,0.22419921875000004,0.35935546874999996,0.18589843750000004,0.29873046875000003,0.28271484375,0.34205078125,0.30443359374999995,0.26208984375,0.3007617187499999,0.33138671875,0.24826171875,0.3700195312499999,0.42935546875,0.22219730941704027,0.08577023498694519,0.09701257861635221,0.07219178082191781,0.035,0.10267206477732795
13,Georgia,GA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.559402985074623,7.333731343283582,7.7129104477611925,6.492686567164175,6.346791044776118,6.632462686567164,7.439328358208955,7.774104477611941,7.8030597014925345,7.070671641791045,5.971940298507462,4.936567164179105,6.875942028985506,6.050434782608694,4.945289855072463,5.309202898550725,3.58449275362319,2.7209420289855073,2.825507246376812,2.6337681159420296,4.12144927536232,4.307028985507247,2.897826086956522,3.600579710144928,4.411079136690646,3.5690647482014404,3.6979856115107914,3.5485611510791357,3.270791366906476,3.8566906474820146,2.0373381294964035,1.8466187050359708,2.505827338129497,1.5118705035971225,1.9554676258992798,2.6071942446043166,1.900851063829787,2.0044680851063834,2.2339716312056734,1.4726950354609933,1.760141843971631,1.6282978723404262,1.0472340425531914,1.3139716312056737,1.5995035460992908,1.04468085106383,1.4896453900709221,1.193758865248227,0.9748226950354612,1.0856737588652485,1.142456140350877,1.1625581395348843,1.1423529411764706,0.9656603773584906,0.5008888888888888,0.6345161290322581
15,Hawaii,HI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.05,0.10222222222222221,0.030555555555555558,0.024444444444444446,0.0,0.04555555555555555,0.0,0.0,0.0,0.0,0.0,0.11500000000000002,0.024444444444444446,0.0,0.07666666666666666,0.03166666666666666,0.12944444444444445,0.0,0.0,0.0,0.043888888888888894,0.07388888888888889,0.04833333333333333,0.03166666666666666,0.04833333333333333,0.10277777777777779,0.0,0.02388888888888889,0.0,0.0,0.0,0.0,0.12111111111111111,0.02388888888888889,0.14055555555555554,0.042222222222222223,0.0,0.15000000000000002,0.0
16,Idaho,ID,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.222,11.633999999999999,3.338,2.138333333333333,1.8316666666666668,1.425,2.7550000000000003,0.31,1.765,1.0883333333333332,1.3266666666666664,1.39,5.128125,0.8068749999999999,0.919375,0.7506250000000001,0.9437500000000001,0.22125,1.0343749999999998,0.595625,0.49124999999999996,0.690625,0.49625,0.28,2.6600000000000006,0.9006249999999999,0.644375,0.549375,1.10375,0.48,0.7074999999999999,1.0325,0.27125,0.8,0.404375,0.5225,4.047894736842105,1.0421052631578949,0.7989473684210526,0.15,0.5321052631578947,0.24157894736842103,0.4368421052631579,0.5610526315789474,0.2752631578947369,0.4947368421052631,0.7789473684210527,0.5131578947368421,2.0921052631578947,0.41210526315789475,0.677857142857143,0.19461538461538463,0.38272727272727275,0.16375,0.658,0.49750000000000005
17,Illinois,IL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.83,1.83,0.0,0.0,1.83,0.0,1.83,0.0,1.82,10.522393162393167,10.18594017094017,12.412094017094011,14.864273504273507,12.68948717948718,10.33282051282051,12.002222222222219,12.108547008547006,13.77705128205128,10.624615384615378,6.3721367521367505,6.224444444444444,5.606742424242424,5.687196969696966,5.9002651515151525,6.193750000000002,6.028068181818185,7.743219696969701,7.180378787878787,5.080075757575757,5.996136363636366,6.530833333333336,4.5324242424242405,5.918712121212121,5.630264150943395,5.011509433962264,6.255056603773586,5.740037735849061,5.0494716981132095,5.543320754716983,5.764452830188681,4.683509433962266,4.742566037735849,4.6611320754716985,4.316981132075472,4.455698113207549,3.710075187969923,3.9668421052631557,3.674022556390978,2.4320300751879698,2.5031954887218046,3.5238721804511273,3.1758270676691747,3.8060902255639113,3.1988345864661656,3.2624436090225566,3.050676691729325,2.8503759398496253,2.7715037593984966,3.3829699248120306,3.6243609022556402,2.730263157894739,2.477631578947371,2.2940225563909786,2.4199624060150384,3.4718796992481202,2.6899624060150384,3.2834586466165416,2.6998872180451134,2.589548872180451,2.7903759398496235,2.801917293233083,3.3020476190476193,3.162068965517241,3.315724637681159,3.1823684210526313,3.309354838709679,5.502337662337663
18,Indiana,IN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9339726027397255,6.115479452054796,4.105205479452055,5.162191780821916,4.858630136986301,3.750136986301368,5.1090410958904116,3.7136986301369874,3.8734246575342466,3.1834246575342466,2.6575342465753424,4.6249315068493155,3.2849315068493152,4.498904109589042,4.062465753424657,3.0073972602739727,4.287534246575343,3.3095890410958915,3.285753424657534,2.4823287671232874,3.181506849315069,2.5280821917808223,2.785890410958904,3.260684931506849,3.344657534246576,3.7904109589041095,4.2187671232876705,3.3520547945205483,2.999315068493151,2.957808219178083,2.264383561643836,2.9172602739726035,2.5005479452054797,2.3898630136986303,1.5968493150684933,1.6226027397260272,2.3623287671232873,1.6691780821917808,2.916301369863014,1.8639726027397256,2.3012328767123287,2.585616438356164,2.0958904109589036,2.5935616438356153,1.8816438356164382,2.5902739726027395,2.2198591549295767,1.110281690140845,2.740281690140845,2.4471830985915495,2.4146551724137937,1.8390243902439016,2.0271428571428567,1.9023076923076923,1.6884210526315793,1.6400000000000001
